Cavity;AB;AO;OW;%;Chamber
0.3;35;40;60;0.5;0
0.3;25;40;50;0.5;0
0.3;27.5;40;50;0.5;0
0.3;35;35;50;0.5;1
0.3;35;30;50;0.5;1
0.3;35;40;50;0.5;0
0.3;30;40;50;0.5;0
0.7;35;40;50;0.1;1
0.7;35;40;50;0.5;1
0.7;35;40;60;0.5;0
0.7;35;40;50;0.25;1
0.7;35;40;50;0.1;1
0.7;25;40;50;0.5;0
0.7;27.5;40;50;0.5;0
0.7;35;35;50;0.5;1
0.7;35;30;50;0.5;1
0.7;30;40;50;0.5;0
0.7;35;40;50;0.5;1
0.7;30;40;50;0.25;1
0.7;30;40;50;0.1;1
0.7;35;40;50;0.25;1
0.5;25;40;40;0.5;0
0.5;25;40;50;0.5;0
0.5;25;40;60;0.5;0
0.5;35;40;60;0.5;1
0.5;30;40;50;0.25;1
0.5;30;40;50;0.1;1
0.5;25;40;50;0.5;0
0.5;27.5;40;50;0.5;0
0.5;35;40;50;0.1;1
0.5;35;40;50;0.25;1
0.5;35;30;50;0.5;1
0.5;35;35;50;0.5;1
0.5;35;40;50;0.5;1
0.5;35;27.5;50;0.5;1
0.5;35;30;50;0.5;1
0.5;30;40;50;0.5;0